"","id","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","user_name","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude","longitude","positional_accuracy","private_place_guess","private_latitude","private_longitude","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","place_town_name","place_county_name","place_state_name","place_country_name","place_admin1_name","place_admin2_name","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","field.tree.canopy.symptoms","field.optional...did.the.tree.have.heat.damage","field.percent.canopy.affected....","field.dieback.percent","field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.","field.percent.of.trees..of.same.species..within.sight.that.are.unhealthy","field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.","field.optional...what..other.factors..were.observed.","field.optional...tree.size","field.optional...site.type","field.optional...site.location.description","field.optional...site.area.disturbance.level","field.optional...site.hydrology","field.optional...access.to.water","field.optional...slope.position","field.optional...were.there.any.other.unhealthy.plant.species.on.the.site.","field.optional...timing.of.symptoms.estimate","field.optional...estimated.time.spent.to.make.this.observation....of.minutes.","field.optional...can.we.follow.up.with.you.","field.tree.number..from.google.map..if.applicable","field.notes","Percent.Dieback.Modified","user.estimated.dieback","field.dieback.prop","tree.size.simplified","binary.tree.canopy.symptoms","reclassified.tree.canopy.symptoms","ordinal.tree.canopy.symptoms","top.dieback","thinning"
"15",107220490,"Mon Feb 21 2022 14:13:29 GMT-0800 (PST)","2022-02-21","2022-02-21 22:13:29 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 00:43:36 UTC","2022-02-22 01:33:35 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107220490","https://inaturalist-open-data.s3.amazonaws.com/photos/180288816/medium.jpg",NA,"","",1,0,"false",3,"5th Ave NW, Seattle, WA, US",47.6602133333,-122.3629216667,5,"",NA,NA,5,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",1,"0",0,"No","Evidence of soil compaction","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","20","Yes","50","",0,"Yes",0.01,"Large","Healthy","Healthy","Healthy","No","No"
"16",107223818,"Mon Feb 21 2022 15:09:12 GMT-0800 (PST)","2022-02-21","2022-02-21 23:09:12 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 01:33:25 UTC","2022-02-22 06:46:39 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107223818","https://inaturalist-open-data.s3.amazonaws.com/photos/180294936/medium.jpg",NA,"","",1,0,"false",3,"Corliss Ave N, Seattle, WA, US",47.68443,-122.3303533333,14,"",NA,NA,14,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","1-29% of the canopy is unhealthy",3,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Middle of a slope","No","This is the first time I have seen this tree","20","Yes","46","",1,"Yes",0.03,"Large","Healthy","Healthy","Healthy","No","No"
"17",107224461,"Mon Feb 21 2022 15:32:08 GMT-0800 (PST)","2022-02-21","2022-02-21 23:32:08 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 01:44:26 UTC","2022-03-02 02:14:04 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107224461","https://inaturalist-open-data.s3.amazonaws.com/photos/180296329/medium.jpg",NA,"","",1,0,"false",3,"NE 86th St, Seattle, WA, US",47.6912083333,-122.302345,14,"",NA,NA,14,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No","30-59% of the canopy is unhealthy",40,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Other","Tree has access to water year round (watered in summer or near permanent water source)","Lower slope","No","This is the first time I have seen this tree","30","Yes","43","",30,"Yes",0.4,"Large","Unhealthy","Other","Unhealthy","No","No"
"18",107224666,"2022-02-20 11:28:51","2022-02-20","2022-02-20 11:28:51 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-22 01:48:15 UTC","2022-03-17 01:26:39 UTC","research","","https://www.inaturalist.org/observations/107224666","https://static.inaturalist.org/photos/180296894/medium.jpeg",NA,"","0% of canopy is above pavement. Signs of heat damage on tips of needles closer to the street, on the bottom half of the tree. Crown appears to be thinning.",1,0,"false",2,"East Renton Highlands, WA, USA",47.50417444,-122.14826208,6,"",NA,NA,6,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Yes (please include photo)","Healthy, no dieback(0%)",0,"0",0,"Not sure","Invasive plants present or growing on tree","Medium (can wrap arms around trunk)","Urban","Roadside","Medium (moderately used trails, etc)","","Tree does not typically have access to water in summer","Top of slope","","This is the first time I have seen this tree","","","28","",0,"Yes",0,"Medium","Healthy","Healthy","Healthy","No","No"
"19",107224907,"Mon Feb 21 2022 15:34:36 GMT-0800 (PST)","2022-02-21","2022-02-21 23:34:36 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 01:52:15 UTC","2022-02-22 06:46:35 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107224907","https://inaturalist-open-data.s3.amazonaws.com/photos/180297431/medium.jpg",NA,"","",1,0,"false",3,"NE 86th St, Seattle, WA, US",47.6911866667,-122.3025283333,14,"",NA,NA,14,"","open","false","","","","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Lower slope","No","This is the first time I have seen this tree","25","Yes","25","",0,"Yes",0,"Large","Healthy","Healthy","Healthy","No","No"
"20",107225052,"2022-02-20 11:37:59","2022-02-20","2022-02-20 11:37:59 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-22 01:54:02 UTC","2022-03-17 01:24:10 UTC","research","","https://www.inaturalist.org/observations/107225052","https://static.inaturalist.org/photos/180297674/medium.jpeg",NA,"","Signs of heat damage on needles, on all sides and heights of tree, thinning canopy, and extra cone crop",1,0,"false",2,"East Renton Highlands, WA, USA",47.50416687,-122.14647305,7,"",NA,NA,7,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Thinning Canopy","Yes (please include photo)","30-59% of the canopy is unhealthy",50,"0",NA,"Yes (please elaborate in Notes, add Picture if possible)","Needle or leaf disease (dieback, checking, blight, etc.)","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","","","29","Thinning canopy and extra cone crop",30,"Yes",0.5,"Large","Unhealthy","Thinning Canopy","Unhealthy","No","Yes"
"21",107225684,"2022/02/21 2:30 PM PST","2022-02-21","2022-02-21 22:30:00 UTC","Pacific Time (US & Canada)",5231089,"lyndsayf","","2022-02-22 02:04:41 UTC","2022-02-24 22:34:35 UTC","casual","CC-BY-NC","https://www.inaturalist.org/observations/107225684","https://inaturalist-open-data.s3.amazonaws.com/photos/180298685/medium.jpg",NA,"","",3,0,"true",NA,"Sunset Hill, Seattle, WA, USA",47.6675838,-122.4003124,NA,"",NA,NA,NA,"","open","false","","","","King","Washington","United States","Washington","King","Cypresses, Cedars, Junipers, and Allies","Cupressoideae","Cypresses, Cedars, Junipers, and Allies","Plantae",1150915,"Branch Dieback or 'Flagging'","No","1-29% of the canopy is unhealthy",20,"0",0,"No","Invasive plants present or growing on tree","Large (too big to wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","20","Yes","20","",1,"Yes",0.2,"Large","Unhealthy","Other","Unhealthy","No","No"
"22",107439069,"Tue Feb 22 2022 14:05:07 GMT-0800 (PST)","2022-02-22","2022-02-22 22:05:07 UTC","Pacific Time (US & Canada)",500327,"jmhulbert","Joey H","2022-02-25 22:02:38 UTC","2022-02-28 17:15:16 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/107439069","https://inaturalist-open-data.s3.amazonaws.com/photos/180700718/medium.jpg",NA,"","",2,0,"false",3,"Lind Ave SW, Renton, WA, US",47.4729583333,-122.223275,4,"",NA,NA,4,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No selection","1-29% of the canopy is unhealthy",10,"0",100,"Not sure","No selection","Medium (can wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","No selection","5","No Selection","extra tree","",1,"Yes",0.1,"Medium","Unhealthy","Other","Unhealthy","No","No"
"23",107502297,"2022-02-25 17:27:16","2022-02-25","2022-02-25 17:27:16 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-26 20:32:02 UTC","2022-03-17 01:20:11 UTC","research","","https://www.inaturalist.org/observations/107502297","https://static.inaturalist.org/photos/180818910/medium.jpeg",NA,"","",2,0,"false",2,"Renton, WA 98055, USA",47.44512209,-122.19121544,8,"",NA,NA,8,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","Yes (please include photo)","1-29% of the canopy is unhealthy",5,"1",50,"Yes (please elaborate in Notes, add Picture if possible)","Insect damage on trunk (holes, frass, galleries, etc.)","Medium (can wrap arms around trunk)","Urban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree does not typically have access to water in summer","Middle of a slope","No","","","","31","Signs of insect damage on branches, paths bored into wood",1,"Yes",0.05,"Medium","Unhealthy","Other","Unhealthy","No","No"
"24",107502653,"2022-02-26 12:31:28","2022-02-26","2022-02-26 12:31:28 UTC","UTC",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-26 20:37:04 UTC","2022-03-17 01:16:10 UTC","research","","https://www.inaturalist.org/observations/107502653","https://static.inaturalist.org/photos/180820488/medium.jpeg",NA,"","",1,0,"false",2,"Kennydale, Renton, WA 98056, USA",47.52748791,-122.19923301,3,"",NA,NA,3,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Yes (please include photo)","Healthy, no dieback(0%)",0,"0",NA,"Yes (please elaborate in Notes, add Picture if possible)","Fungal Activitiy (mycelial fans, bleeding cankers, mushrooms at base, or conks on trunk)","","","","","","","","","This is the first time I have seen this tree","","","46","Frass or yellow mold, noticeable amount of sap",0,"Yes",0,"","Healthy","Healthy","Healthy","No","No"
"25",107503341,"2022-02-26 12:42:52","2022-02-26","2022-02-26 20:42:52 UTC","Pacific Time (US & Canada)",5293028,"angela_mabel","Angela Mabel Gaither","2022-02-26 20:47:08 UTC","2022-03-17 01:14:01 UTC","research","","https://www.inaturalist.org/observations/107503341","https://static.inaturalist.org/photos/180821853/medium.jpeg",NA,"","",2,0,"false",2,"Kennydale, Renton, WA 98056, USA",47.52348504,-122.2049297,6,"",NA,NA,6,"","open","false","","","Renton City Limits","King","Washington","United States","Washington","King","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Thinning Canopy","Yes (please include photo)","1-29% of the canopy is unhealthy",30,"2-3",100,"Not sure","Invasive plants present or growing on tree","Large (too big to wrap arms around trunk)","Suburban","Roadside","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","","Tree does not typically have access to water in summer","Area is flat (e.g. field)","No","This is the first time I have seen this tree","","","65","",1,"Yes",0.3,"Large","Unhealthy","Thinning Canopy","Unhealthy","No","Yes"
